"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|GB","Actual Total Load [MW] - BZN|GB"
"04.01.2016 02:00 - 04.01.2016 02:30","28435","28547"
"04.01.2016 02:30 - 04.01.2016 03:00","28364","28258"
"04.01.2016 03:00 - 04.01.2016 03:30","27899","27804"
"04.01.2016 03:30 - 04.01.2016 04:00","27423","27314"
"04.01.2016 04:00 - 04.01.2016 04:30","27245","26997"
"04.01.2016 04:30 - 04.01.2016 05:00","27554","27144"
"04.01.2016 05:00 - 04.01.2016 05:30","28470","27959"
"04.01.2016 05:30 - 04.01.2016 06:00","30670","29978"
"04.01.2016 06:00 - 04.01.2016 06:30","33831","34500"
"04.01.2016 06:30 - 04.01.2016 07:00","37349","37555"
"04.01.2016 07:00 - 04.01.2016 07:30","40557","41291"
"04.01.2016 07:30 - 04.01.2016 08:00","42359","43279"
"04.01.2016 08:00 - 04.01.2016 08:30","43294","44853"
"04.01.2016 08:30 - 04.01.2016 09:00","44222","45551"
"04.01.2016 09:00 - 04.01.2016 09:30","45128","46249"
"04.01.2016 09:30 - 04.01.2016 10:00","45402","46712"
"04.01.2016 10:00 - 04.01.2016 10:30","45652","47177"
"04.01.2016 10:30 - 04.01.2016 11:00","45883","47279"
"04.01.2016 11:00 - 04.01.2016 11:30","46052","47475"
"04.01.2016 11:30 - 04.01.2016 12:00","46346","47793"
"04.01.2016 12:00 - 04.01.2016 12:30","46423","48296"
"04.01.2016 12:30 - 04.01.2016 13:00","46242","48257"
"04.01.2016 13:00 - 04.01.2016 13:30","45887","48219"
"04.01.2016 13:30 - 04.01.2016 14:00","45933","48059"
"04.01.2016 14:00 - 04.01.2016 14:30","46287","48225"
"04.01.2016 14:30 - 04.01.2016 15:00","46534","48208"
"04.01.2016 15:00 - 04.01.2016 15:30","47191","47762"
"04.01.2016 15:30 - 04.01.2016 16:00","48799","48680"
"04.01.2016 16:00 - 04.01.2016 16:30","50805","50521"
"04.01.2016 16:30 - 04.01.2016 17:00","52710","50434"
"04.01.2016 17:00 - 04.01.2016 17:30","52674","52271"
"04.01.2016 17:30 - 04.01.2016 18:00","51610","53210"
"04.01.2016 18:00 - 04.01.2016 18:30","51467","53076"
"04.01.2016 18:30 - 04.01.2016 19:00","50805","52372"
"04.01.2016 19:00 - 04.01.2016 19:30","49342","51230"
"04.01.2016 19:30 - 04.01.2016 20:00","47742","49667"
"04.01.2016 20:00 - 04.01.2016 20:30","46033","48015"
"04.01.2016 20:30 - 04.01.2016 21:00","44095","46196"
"04.01.2016 21:00 - 04.01.2016 21:30","41841","44453"
"04.01.2016 21:30 - 04.01.2016 22:00","39575","42259"
"04.01.2016 22:00 - 04.01.2016 22:30","37464","40355"
"04.01.2016 22:30 - 04.01.2016 23:00","35089","38448"
"04.01.2016 23:00 - 04.01.2016 23:30","33062","36101"
"04.01.2016 23:30 - 05.01.2016 00:00","32117","34700"
"05.01.2016 00:00 - 05.01.2016 00:30","31259","33959"
"05.01.2016 00:30 - 05.01.2016 01:00","31337","33992"
"05.01.2016 01:00 - 05.01.2016 01:30","31060","32892"
"05.01.2016 01:30 - 05.01.2016 02:00","30519","31648"
"05.01.2016 02:00 - 05.01.2016 02:30","30323","30775"
"05.01.2016 02:30 - 05.01.2016 03:00","30095","30598"
"05.01.2016 03:00 - 05.01.2016 03:30","29618","29911"
"05.01.2016 03:30 - 05.01.2016 04:00","29161","29304"
"05.01.2016 04:00 - 05.01.2016 04:30","28936","29053"
"05.01.2016 04:30 - 05.01.2016 05:00","29166","29197"
"05.01.2016 05:00 - 05.01.2016 05:30","29956","30021"
"05.01.2016 05:30 - 05.01.2016 06:00","32155","31835"
"05.01.2016 06:00 - 05.01.2016 06:30","35609","36308"
"05.01.2016 06:30 - 05.01.2016 07:00","39506","39999"
"05.01.2016 07:00 - 05.01.2016 07:30","42896","43854"
"05.01.2016 07:30 - 05.01.2016 08:00","44637","45821"
"05.01.2016 08:00 - 05.01.2016 08:30","45047","46893"
"05.01.2016 08:30 - 05.01.2016 09:00","45391","46967"
"05.01.2016 09:00 - 05.01.2016 09:30","46035","47756"
"05.01.2016 09:30 - 05.01.2016 10:00","46177","48004"
"05.01.2016 10:00 - 05.01.2016 10:30","46279","48028"
"05.01.2016 10:30 - 05.01.2016 11:00","46410","48226"
"05.01.2016 11:00 - 05.01.2016 11:30","46508","48373"
"05.01.2016 11:30 - 05.01.2016 12:00","46701","48587"
"05.01.2016 12:00 - 05.01.2016 12:30","46724","48798"
"05.01.2016 12:30 - 05.01.2016 13:00","46592","49221"
"05.01.2016 13:00 - 05.01.2016 13:30","46416","48550"
"05.01.2016 13:30 - 05.01.2016 14:00","46397","48404"
"05.01.2016 14:00 - 05.01.2016 14:30","46419","48595"
"05.01.2016 14:30 - 05.01.2016 15:00","46400","48444"
"05.01.2016 15:00 - 05.01.2016 15:30","46733","48510"
"05.01.2016 15:30 - 05.01.2016 16:00","48109","49638"
"05.01.2016 16:00 - 05.01.2016 16:30","50565","51570"
"05.01.2016 16:30 - 05.01.2016 17:00","52793","53323"
"05.01.2016 17:00 - 05.01.2016 17:30","52714","53713"
"05.01.2016 17:30 - 05.01.2016 18:00","51745","53670"
"05.01.2016 18:00 - 05.01.2016 18:30","51667","53505"
"05.01.2016 18:30 - 05.01.2016 19:00","51067","52781"
"05.01.2016 19:00 - 05.01.2016 19:30","49615","51916"
"05.01.2016 19:30 - 05.01.2016 20:00","48138","49542"
"05.01.2016 20:00 - 05.01.2016 20:30","46303","48234"
"05.01.2016 20:30 - 05.01.2016 21:00","44310","46824"
"05.01.2016 21:00 - 05.01.2016 21:30","42338","44864"
"05.01.2016 21:30 - 05.01.2016 22:00","39959","42428"
"05.01.2016 22:00 - 05.01.2016 22:30","37870","40340"
"05.01.2016 22:30 - 05.01.2016 23:00","35697","38352"
"05.01.2016 23:00 - 05.01.2016 23:30","33660","36091"
"05.01.2016 23:30 - 06.01.2016 00:00","32603","34891"
"06.01.2016 00:00 - 06.01.2016 00:30","31918","33798"
"06.01.2016 00:30 - 06.01.2016 01:00","32202","33475"
"06.01.2016 01:00 - 06.01.2016 01:30","31773","32591"
"06.01.2016 01:30 - 06.01.2016 02:00","31102","31605"
"06.01.2016 02:00 - 06.01.2016 02:30","30820","30852"
"06.01.2016 02:30 - 06.01.2016 03:00","30504","30565"
"06.01.2016 03:00 - 06.01.2016 03:30","29682","30027"
"06.01.2016 03:30 - 06.01.2016 04:00","28883","29443"
"06.01.2016 04:00 - 06.01.2016 04:30","28390","29159"
"06.01.2016 04:30 - 06.01.2016 05:00","28659","29308"
"06.01.2016 05:00 - 06.01.2016 05:30","29570","30016"
"06.01.2016 05:30 - 06.01.2016 06:00","31680","31705"
"06.01.2016 06:00 - 06.01.2016 06:30","34920","36041"
"06.01.2016 06:30 - 06.01.2016 07:00","38737","39898"
"06.01.2016 07:00 - 06.01.2016 07:30","42290","43809"
"06.01.2016 07:30 - 06.01.2016 08:00","44130","45932"
"06.01.2016 08:00 - 06.01.2016 08:30","44636","46945"
"06.01.2016 08:30 - 06.01.2016 09:00","44874","46946"
"06.01.2016 09:00 - 06.01.2016 09:30","45387","47701"
"06.01.2016 09:30 - 06.01.2016 10:00","45517","47938"
"06.01.2016 10:00 - 06.01.2016 10:30","46169","47937"
"06.01.2016 10:30 - 06.01.2016 11:00","46623","48011"
"06.01.2016 11:00 - 06.01.2016 11:30","46443","48240"
"06.01.2016 11:30 - 06.01.2016 12:00","46580","48243"
"06.01.2016 12:00 - 06.01.2016 12:30","46574","48364"
"06.01.2016 12:30 - 06.01.2016 13:00","46328","48256"
"06.01.2016 13:00 - 06.01.2016 13:30","46145","48208"
"06.01.2016 13:30 - 06.01.2016 14:00","46171","48152"
"06.01.2016 14:00 - 06.01.2016 14:30","46267","48295"
"06.01.2016 14:30 - 06.01.2016 15:00","46334","48315"
"06.01.2016 15:00 - 06.01.2016 15:30","46662","48251"
"06.01.2016 15:30 - 06.01.2016 16:00","47935","49507"
"06.01.2016 16:00 - 06.01.2016 16:30","50335","52046"
"06.01.2016 16:30 - 06.01.2016 17:00","52049","53573"
"06.01.2016 17:00 - 06.01.2016 17:30","52213","53781"
"06.01.2016 17:30 - 06.01.2016 18:00","51943","53180"
"06.01.2016 18:00 - 06.01.2016 18:30","51615","52496"
"06.01.2016 18:30 - 06.01.2016 19:00","50860","52260"
"06.01.2016 19:00 - 06.01.2016 19:30","49435","51369"
"06.01.2016 19:30 - 06.01.2016 20:00","47847","50202"
"06.01.2016 20:00 - 06.01.2016 20:30","45982","48627"
"06.01.2016 20:30 - 06.01.2016 21:00","43839","46804"
"06.01.2016 21:00 - 06.01.2016 21:30","41537","44847"
"06.01.2016 21:30 - 06.01.2016 22:00","39326","42605"
"06.01.2016 22:00 - 06.01.2016 22:30","37376","40521"
"06.01.2016 22:30 - 06.01.2016 23:00","35356","38460"
"06.01.2016 23:00 - 06.01.2016 23:30","33283","35737"
"06.01.2016 23:30 - 07.01.2016 00:00","32332","34096"
"07.01.2016 00:00 - 07.01.2016 00:30","32628","32864"
"07.01.2016 00:30 - 07.01.2016 01:00","32712","32361"
"07.01.2016 01:00 - 07.01.2016 01:30","32221","31522"
"07.01.2016 01:30 - 07.01.2016 02:00","31478","30783"
"07.01.2016 02:00 - 07.01.2016 02:30","31028","30130"
"07.01.2016 02:30 - 07.01.2016 03:00","30531","29936"
"07.01.2016 03:00 - 07.01.2016 03:30","29696","29760"
"07.01.2016 03:30 - 07.01.2016 04:00","29016","29223"
"07.01.2016 04:00 - 07.01.2016 04:30","28789","29099"
"07.01.2016 04:30 - 07.01.2016 05:00","29176","29243"
"07.01.2016 05:00 - 07.01.2016 05:30","30036","29755"
"07.01.2016 05:30 - 07.01.2016 06:00","32394","31206"
"07.01.2016 06:00 - 07.01.2016 06:30","35856","35498"
"07.01.2016 06:30 - 07.01.2016 07:00","39744","39727"
"07.01.2016 07:00 - 07.01.2016 07:30","43109","43788"
"07.01.2016 07:30 - 07.01.2016 08:00","44817","46114"
"07.01.2016 08:00 - 07.01.2016 08:30","45379","47335"
"07.01.2016 08:30 - 07.01.2016 09:00","45687","47199"
"07.01.2016 09:00 - 07.01.2016 09:30","46244","47831"
"07.01.2016 09:30 - 07.01.2016 10:00","46231","48147"
"07.01.2016 10:00 - 07.01.2016 10:30","46349","48457"
"07.01.2016 10:30 - 07.01.2016 11:00","46588","48812"
"07.01.2016 11:00 - 07.01.2016 11:30","46816","49065"
"07.01.2016 11:30 - 07.01.2016 12:00","47213","49106"
"07.01.2016 12:00 - 07.01.2016 12:30","47224","49130"
"07.01.2016 12:30 - 07.01.2016 13:00","46959","48737"
"07.01.2016 13:00 - 07.01.2016 13:30","46689","48264"
"07.01.2016 13:30 - 07.01.2016 14:00","46860","47727"
"07.01.2016 14:00 - 07.01.2016 14:30","46999","47351"
"07.01.2016 14:30 - 07.01.2016 15:00","47009","46994"
"07.01.2016 15:00 - 07.01.2016 15:30","47620","46839"
"07.01.2016 15:30 - 07.01.2016 16:00","49237","47872"
"07.01.2016 16:00 - 07.01.2016 16:30","51387","49864"
"07.01.2016 16:30 - 07.01.2016 17:00","52603","52442"
"07.01.2016 17:00 - 07.01.2016 17:30","52755","53419"
"07.01.2016 17:30 - 07.01.2016 18:00","52626","53142"
"07.01.2016 18:00 - 07.01.2016 18:30","52181","52755"
"07.01.2016 18:30 - 07.01.2016 19:00","51381","51972"
"07.01.2016 19:00 - 07.01.2016 19:30","49954","51052"
"07.01.2016 19:30 - 07.01.2016 20:00","48346","49720"
"07.01.2016 20:00 - 07.01.2016 20:30","46714","48318"
"07.01.2016 20:30 - 07.01.2016 21:00","44839","46516"
"07.01.2016 21:00 - 07.01.2016 21:30","42596","44718"
"07.01.2016 21:30 - 07.01.2016 22:00","40272","42449"
"07.01.2016 22:00 - 07.01.2016 22:30","38213","40075"
"07.01.2016 22:30 - 07.01.2016 23:00","35882","38363"
"07.01.2016 23:00 - 07.01.2016 23:30","33939","36419"
"07.01.2016 23:30 - 08.01.2016 00:00","32850","35071"
"08.01.2016 00:00 - 08.01.2016 00:30","32324","34582"
"08.01.2016 00:30 - 08.01.2016 01:00","32443","34536"
"08.01.2016 01:00 - 08.01.2016 01:30","32261","33252"
"08.01.2016 01:30 - 08.01.2016 02:00","31921","32149"
"08.01.2016 02:00 - 08.01.2016 02:30","31916","31807"
"08.01.2016 02:30 - 08.01.2016 03:00","31733","31737"
"08.01.2016 03:00 - 08.01.2016 03:30","31023","31390"
"08.01.2016 03:30 - 08.01.2016 04:00","30311","30910"
"08.01.2016 04:00 - 08.01.2016 04:30","29836","30500"
"08.01.2016 04:30 - 08.01.2016 05:00","30016","30502"
"08.01.2016 05:00 - 08.01.2016 05:30","30861","31433"
"08.01.2016 05:30 - 08.01.2016 06:00","33113","32705"
"08.01.2016 06:00 - 08.01.2016 06:30","36560","36818"
"08.01.2016 06:30 - 08.01.2016 07:00","40670","40835"
"08.01.2016 07:00 - 08.01.2016 07:30","44387","45079"
"08.01.2016 07:30 - 08.01.2016 08:00","46062","47287"
"08.01.2016 08:00 - 08.01.2016 08:30","46365","48247"
"08.01.2016 08:30 - 08.01.2016 09:00","46629","47875"
"08.01.2016 09:00 - 08.01.2016 09:30","47154","48397"
"08.01.2016 09:30 - 08.01.2016 10:00","47026","48440"
"08.01.2016 10:00 - 08.01.2016 10:30","46900","48475"
"08.01.2016 10:30 - 08.01.2016 11:00","46981","48642"
"08.01.2016 11:00 - 08.01.2016 11:30","47061","48497"
"08.01.2016 11:30 - 08.01.2016 12:00","47288","48275"
"08.01.2016 12:00 - 08.01.2016 12:30","47674","48265"
"08.01.2016 12:30 - 08.01.2016 13:00","47275","48003"
"08.01.2016 13:00 - 08.01.2016 13:30","46700","47657"
"08.01.2016 13:30 - 08.01.2016 14:00","46985","47595"
"08.01.2016 14:00 - 08.01.2016 14:30","46963","47563"
"08.01.2016 14:30 - 08.01.2016 15:00","46706","47363"
"08.01.2016 15:00 - 08.01.2016 15:30","46946","47127"
"08.01.2016 15:30 - 08.01.2016 16:00","48467","48052"
"08.01.2016 16:00 - 08.01.2016 16:30","50402","49842"
"08.01.2016 16:30 - 08.01.2016 17:00","51450","51935"
"08.01.2016 17:00 - 08.01.2016 17:30","51646","52565"
"08.01.2016 17:30 - 08.01.2016 18:00","51215","52168"
"08.01.2016 18:00 - 08.01.2016 18:30","50476","51975"
"08.01.2016 18:30 - 08.01.2016 19:00","49356","51404"
"08.01.2016 19:00 - 08.01.2016 19:30","47839","50163"
"08.01.2016 19:30 - 08.01.2016 20:00","46460","48821"
"08.01.2016 20:00 - 08.01.2016 20:30","44934","47509"
"08.01.2016 20:30 - 08.01.2016 21:00","43250","45732"
"08.01.2016 21:00 - 08.01.2016 21:30","41372","43852"
"08.01.2016 21:30 - 08.01.2016 22:00","39411","41722"
"08.01.2016 22:00 - 08.01.2016 22:30","37939","40067"
"08.01.2016 22:30 - 08.01.2016 23:00","36160","38725"
"08.01.2016 23:00 - 08.01.2016 23:30","34401","37084"
"08.01.2016 23:30 - 09.01.2016 00:00","33244","35909"
"09.01.2016 00:00 - 09.01.2016 00:30","33017","35003"
"09.01.2016 00:30 - 09.01.2016 01:00","33036","35017"
"09.01.2016 01:00 - 09.01.2016 01:30","32674","33975"
"09.01.2016 01:30 - 09.01.2016 02:00","31678","32767"
"09.01.2016 02:00 - 09.01.2016 02:30","30869","31673"
"09.01.2016 02:30 - 09.01.2016 03:00","30362","30762"
"09.01.2016 03:00 - 09.01.2016 03:30","29950","30018"
"09.01.2016 03:30 - 09.01.2016 04:00","29471","29376"
"09.01.2016 04:00 - 09.01.2016 04:30","29030","28985"
"09.01.2016 04:30 - 09.01.2016 05:00","29058","28722"
"09.01.2016 05:00 - 09.01.2016 05:30","29208","28818"
"09.01.2016 05:30 - 09.01.2016 06:00","29572","29191"
"09.01.2016 06:00 - 09.01.2016 06:30","30858","30685"
"09.01.2016 06:30 - 09.01.2016 07:00","32319","33093"
"09.01.2016 07:00 - 09.01.2016 07:30","33962","35298"
"09.01.2016 07:30 - 09.01.2016 08:00","35644","36569"
"09.01.2016 08:00 - 09.01.2016 08:30","37347","38630"
"09.01.2016 08:30 - 09.01.2016 09:00","39072","40359"
"09.01.2016 09:00 - 09.01.2016 09:30","40725","41976"
"09.01.2016 09:30 - 09.01.2016 10:00","41623","43088"
"09.01.2016 10:00 - 09.01.2016 10:30","42361","43684"
"09.01.2016 10:30 - 09.01.2016 11:00","42681","44052"
"09.01.2016 11:00 - 09.01.2016 11:30","43154","44199"
"09.01.2016 11:30 - 09.01.2016 12:00","43181","44319"
"09.01.2016 12:00 - 09.01.2016 12:30","43128","44377"
"09.01.2016 12:30 - 09.01.2016 13:00","42898","44357"
"09.01.2016 13:00 - 09.01.2016 13:30","42575","44028"
"09.01.2016 13:30 - 09.01.2016 14:00","42203","43929"
"09.01.2016 14:00 - 09.01.2016 14:30","42119","43838"
"09.01.2016 14:30 - 09.01.2016 15:00","41797","43590"
"09.01.2016 15:00 - 09.01.2016 15:30","41909","43678"
"09.01.2016 15:30 - 09.01.2016 16:00","42179","44242"
"09.01.2016 16:00 - 09.01.2016 16:30","44066","46177"
"09.01.2016 16:30 - 09.01.2016 17:00","46589","48184"
"09.01.2016 17:00 - 09.01.2016 17:30","48237","49134"
"09.01.2016 17:30 - 09.01.2016 18:00","48285","48958"
"09.01.2016 18:00 - 09.01.2016 18:30","47905","48235"
"09.01.2016 18:30 - 09.01.2016 19:00","46936","47055"
"09.01.2016 19:00 - 09.01.2016 19:30","45361","45606"
"09.01.2016 19:30 - 09.01.2016 20:00","43551","44208"
"09.01.2016 20:00 - 09.01.2016 20:30","42272","42964"
"09.01.2016 20:30 - 09.01.2016 21:00","41106","41481"
"09.01.2016 21:00 - 09.01.2016 21:30","39756","40287"
"09.01.2016 21:30 - 09.01.2016 22:00","38216","38556"
"09.01.2016 22:00 - 09.01.2016 22:30","36852","36968"
"09.01.2016 22:30 - 09.01.2016 23:00","35842","35713"
"09.01.2016 23:00 - 09.01.2016 23:30","34115","34047"
"09.01.2016 23:30 - 10.01.2016 00:00","32918","32755"
"10.01.2016 00:00 - 10.01.2016 00:30","32064","33200"
"10.01.2016 00:30 - 10.01.2016 01:00","31754","32675"
