"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|GB","Actual Total Load [MW] - BZN|GB"
"01.01.2016 00:00 - 01.01.2016 00:30","29598","33474"
"01.01.2016 00:30 - 01.01.2016 01:00","29478","34478"
"01.01.2016 01:00 - 01.01.2016 01:30","29479","33948"
"01.01.2016 01:30 - 01.01.2016 02:00","29335","32563"
"01.01.2016 02:00 - 01.01.2016 02:30","29342","31436"
"01.01.2016 02:30 - 01.01.2016 03:00","28652","30837"
"01.01.2016 03:00 - 01.01.2016 03:30","27482","29332"
"01.01.2016 03:30 - 01.01.2016 04:00","26538","27864"
"01.01.2016 04:00 - 01.01.2016 04:30","25716","27308"
"01.01.2016 04:30 - 01.01.2016 05:00","25338","26879"
"01.01.2016 05:00 - 01.01.2016 05:30","25517","26884"
"01.01.2016 05:30 - 01.01.2016 06:00","25893","26648"
"01.01.2016 06:00 - 01.01.2016 06:30","26202","27479"
"01.01.2016 06:30 - 01.01.2016 07:00","26499","28171"
"01.01.2016 07:00 - 01.01.2016 07:30","26783","28354"
"01.01.2016 07:30 - 01.01.2016 08:00","27288","28703"
"01.01.2016 08:00 - 01.01.2016 08:30","28396","30271"
"01.01.2016 08:30 - 01.01.2016 09:00","29652","31274"
"01.01.2016 09:00 - 01.01.2016 09:30","31117","34069"
"01.01.2016 09:30 - 01.01.2016 10:00","32696","35343"
"01.01.2016 10:00 - 01.01.2016 10:30","34184","36813"
"01.01.2016 10:30 - 01.01.2016 11:00","35452","37782"
"01.01.2016 11:00 - 01.01.2016 11:30","36537","38740"
"01.01.2016 11:30 - 01.01.2016 12:00","37550","39489"
"01.01.2016 12:00 - 01.01.2016 12:30","38308","40280"
"01.01.2016 12:30 - 01.01.2016 13:00","38393","40476"
"01.01.2016 13:00 - 01.01.2016 13:30","38382","40386"
"01.01.2016 13:30 - 01.01.2016 14:00","38748","40367"
"01.01.2016 14:00 - 01.01.2016 14:30","38973","40498"
"01.01.2016 14:30 - 01.01.2016 15:00","39305","40613"
"01.01.2016 15:00 - 01.01.2016 15:30","39802","41007"
"01.01.2016 15:30 - 01.01.2016 16:00","40915","41631"
"01.01.2016 16:00 - 01.01.2016 16:30","42554","43316"
"01.01.2016 16:30 - 01.01.2016 17:00","43754","44716"
"01.01.2016 17:00 - 01.01.2016 17:30","44059","45127"
"01.01.2016 17:30 - 01.01.2016 18:00","43591","44653"
"01.01.2016 18:00 - 01.01.2016 18:30","42661","43697"
"01.01.2016 18:30 - 01.01.2016 19:00","41539","42738"
"01.01.2016 19:00 - 01.01.2016 19:30","40197","41808"
"01.01.2016 19:30 - 01.01.2016 20:00","39271","40797"
"01.01.2016 20:00 - 01.01.2016 20:30","38702","39936"
"01.01.2016 20:30 - 01.01.2016 21:00","37487","38948"
"01.01.2016 21:00 - 01.01.2016 21:30","35930","37941"
"01.01.2016 21:30 - 01.01.2016 22:00","34623","37028"
"01.01.2016 22:00 - 01.01.2016 22:30","33362","35452"
"01.01.2016 22:30 - 01.01.2016 23:00","31818","34327"
"01.01.2016 23:00 - 01.01.2016 23:30","30314","32131"
"01.01.2016 23:30 - 02.01.2016 00:00","29372","30841"
"02.01.2016 00:00 - 02.01.2016 00:30","29666","30778"
"02.01.2016 00:30 - 02.01.2016 01:00","29367","30600"
"02.01.2016 01:00 - 02.01.2016 01:30","28794","29384"
"02.01.2016 01:30 - 02.01.2016 02:00","28078","28211"
"02.01.2016 02:00 - 02.01.2016 02:30","27706","27159"
"02.01.2016 02:30 - 02.01.2016 03:00","27288","26494"
"02.01.2016 03:00 - 02.01.2016 03:30","26660","25486"
"02.01.2016 03:30 - 02.01.2016 04:00","26199","24822"
"02.01.2016 04:00 - 02.01.2016 04:30","25938","24482"
"02.01.2016 04:30 - 02.01.2016 05:00","26056","24446"
"02.01.2016 05:00 - 02.01.2016 05:30","26449","24634"
"02.01.2016 05:30 - 02.01.2016 06:00","27605","25418"
"02.01.2016 06:00 - 02.01.2016 06:30","29040","27608"
"02.01.2016 06:30 - 02.01.2016 07:00","30553","29120"
"02.01.2016 07:00 - 02.01.2016 07:30","32172","30254"
"02.01.2016 07:30 - 02.01.2016 08:00","33420","31148"
"02.01.2016 08:00 - 02.01.2016 08:30","34808","32661"
"02.01.2016 08:30 - 02.01.2016 09:00","36506","34294"
"02.01.2016 09:00 - 02.01.2016 09:30","38046","36928"
"02.01.2016 09:30 - 02.01.2016 10:00","39047","38266"
"02.01.2016 10:00 - 02.01.2016 10:30","39565","39386"
"02.01.2016 10:30 - 02.01.2016 11:00","39851","40174"
"02.01.2016 11:00 - 02.01.2016 11:30","40306","40731"
"02.01.2016 11:30 - 02.01.2016 12:00","40437","41144"
"02.01.2016 12:00 - 02.01.2016 12:30","40511","41599"
"02.01.2016 12:30 - 02.01.2016 13:00","41030","41780"
"02.01.2016 13:00 - 02.01.2016 13:30","41506","41751"
"02.01.2016 13:30 - 02.01.2016 14:00","41672","41760"
"02.01.2016 14:00 - 02.01.2016 14:30","41608","41763"
"02.01.2016 14:30 - 02.01.2016 15:00","41553","41509"
"02.01.2016 15:00 - 02.01.2016 15:30","41692","41735"
"02.01.2016 15:30 - 02.01.2016 16:00","42754","42394"
"02.01.2016 16:00 - 02.01.2016 16:30","45454","42389"
"02.01.2016 16:30 - 02.01.2016 17:00","47821","46351"
"02.01.2016 17:00 - 02.01.2016 17:30","48038","47628"
"02.01.2016 17:30 - 02.01.2016 18:00","47229","47519"
"02.01.2016 18:00 - 02.01.2016 18:30","46512","46845"
"02.01.2016 18:30 - 02.01.2016 19:00","45457","45774"
"02.01.2016 19:00 - 02.01.2016 19:30","43965","44605"
"02.01.2016 19:30 - 02.01.2016 20:00","42512","43525"
"02.01.2016 20:00 - 02.01.2016 20:30","41005","42496"
"02.01.2016 20:30 - 02.01.2016 21:00","39681","40981"
"02.01.2016 21:00 - 02.01.2016 21:30","38211","39764"
"02.01.2016 21:30 - 02.01.2016 22:00","36608","38190"
"02.01.2016 22:00 - 02.01.2016 22:30","35238","36898"
"02.01.2016 22:30 - 02.01.2016 23:00","33772","35863"
"02.01.2016 23:00 - 02.01.2016 23:30","32182","33662"
"02.01.2016 23:30 - 03.01.2016 00:00","31802","32540"
"03.01.2016 00:00 - 03.01.2016 00:30","31572","32540"
"03.01.2016 00:30 - 03.01.2016 01:00","31356","31872"
"03.01.2016 01:00 - 03.01.2016 01:30","30380","30825"
"03.01.2016 01:30 - 03.01.2016 02:00","29265","29520"
"03.01.2016 02:00 - 03.01.2016 02:30","28652","28129"
"03.01.2016 02:30 - 03.01.2016 03:00","28129","27696"
"03.01.2016 03:00 - 03.01.2016 03:30","27274","26939"
"03.01.2016 03:30 - 03.01.2016 04:00","26600","26092"
"03.01.2016 04:00 - 03.01.2016 04:30","26113","25729"
"03.01.2016 04:30 - 03.01.2016 05:00","25711","25710"
"03.01.2016 05:00 - 03.01.2016 05:30","25942","25800"
"03.01.2016 05:30 - 03.01.2016 06:00","26961","26081"
"03.01.2016 06:00 - 03.01.2016 06:30","28134","26771"
"03.01.2016 06:30 - 03.01.2016 07:00","29365","27583"
"03.01.2016 07:00 - 03.01.2016 07:30","30601","29198"
"03.01.2016 07:30 - 03.01.2016 08:00","32066","30439"
"03.01.2016 08:00 - 03.01.2016 08:30","34375","31621"
"03.01.2016 08:30 - 03.01.2016 09:00","36467","33027"
"03.01.2016 09:00 - 03.01.2016 09:30","38031","35748"
"03.01.2016 09:30 - 03.01.2016 10:00","39501","37417"
"03.01.2016 10:00 - 03.01.2016 10:30","40683","39364"
"03.01.2016 10:30 - 03.01.2016 11:00","41336","40741"
"03.01.2016 11:00 - 03.01.2016 11:30","41823","41581"
"03.01.2016 11:30 - 03.01.2016 12:00","42163","42570"
"03.01.2016 12:00 - 03.01.2016 12:30","42157","43422"
"03.01.2016 12:30 - 03.01.2016 13:00","42030","43869"
"03.01.2016 13:00 - 03.01.2016 13:30","41812","43927"
"03.01.2016 13:30 - 03.01.2016 14:00","41712","43778"
"03.01.2016 14:00 - 03.01.2016 14:30","41680","43669"
"03.01.2016 14:30 - 03.01.2016 15:00","41864","43512"
"03.01.2016 15:00 - 03.01.2016 15:30","42306","43700"
"03.01.2016 15:30 - 03.01.2016 16:00","43477","44525"
"03.01.2016 16:00 - 03.01.2016 16:30","45774","46212"
"03.01.2016 16:30 - 03.01.2016 17:00","47340","48352"
"03.01.2016 17:00 - 03.01.2016 17:30","47415","49039"
"03.01.2016 17:30 - 03.01.2016 18:00","46823","48518"
"03.01.2016 18:00 - 03.01.2016 18:30","45698","47871"
"03.01.2016 18:30 - 03.01.2016 19:00","44504","47007"
"03.01.2016 19:00 - 03.01.2016 19:30","43307","45958"
"03.01.2016 19:30 - 03.01.2016 20:00","42015","44704"
"03.01.2016 20:00 - 03.01.2016 20:30","40511","43782"
"03.01.2016 20:30 - 03.01.2016 21:00","39209","42387"
"03.01.2016 21:00 - 03.01.2016 21:30","37833","41160"
"03.01.2016 21:30 - 03.01.2016 22:00","36388","39413"
"03.01.2016 22:00 - 03.01.2016 22:30","35069","37914"
"03.01.2016 22:30 - 03.01.2016 23:00","33387","36304"
"03.01.2016 23:00 - 03.01.2016 23:30","31857","33727"
"03.01.2016 23:30 - 04.01.2016 00:00","31197","32394"
"04.01.2016 00:00 - 04.01.2016 00:30","29082","31851"
"04.01.2016 00:30 - 04.01.2016 01:00","29462","31873"
"04.01.2016 01:00 - 04.01.2016 01:30","29092","30879"
"04.01.2016 01:30 - 04.01.2016 02:00","28588","29619"
