"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|GB","Actual Total Load [MW] - BZN|GB"
"01.01.2018 17:30 - 01.01.2018 18:00","38302","43092"
"01.01.2018 18:00 - 01.01.2018 18:30","37505","42214"
"01.01.2018 18:30 - 01.01.2018 19:00","36574","41588"
"01.01.2018 19:00 - 01.01.2018 19:30","35531","40198"
"01.01.2018 19:30 - 01.01.2018 20:00","34779","39079"
"01.01.2018 20:00 - 01.01.2018 20:30","34103","38240"
"01.01.2018 20:30 - 01.01.2018 21:00","32976","36978"
"01.01.2018 21:00 - 01.01.2018 21:30","31641","35503"
"01.01.2018 21:30 - 01.01.2018 22:00","30335","33951"
"01.01.2018 22:00 - 01.01.2018 22:30","29432","31982"
"01.01.2018 22:30 - 01.01.2018 23:00","28217","30608"
"01.01.2018 23:00 - 01.01.2018 23:30","26822","28361"
"01.01.2018 23:30 - 02.01.2018 00:00","26128","26825"
"02.01.2018 00:00 - 02.01.2018 00:30","26851","26852"
"02.01.2018 00:30 - 02.01.2018 01:00","26864","27787"
"02.01.2018 01:00 - 02.01.2018 01:30","26232","27783"
"02.01.2018 01:30 - 02.01.2018 02:00","25574","27102"
"02.01.2018 02:00 - 02.01.2018 02:30","25307","26903"
"02.01.2018 02:30 - 02.01.2018 03:00","25016","26896"
"02.01.2018 03:00 - 02.01.2018 03:30","24512","26657"
"02.01.2018 03:30 - 02.01.2018 04:00","24085","25985"
"02.01.2018 04:00 - 02.01.2018 04:30","23967","25880"
"02.01.2018 04:30 - 02.01.2018 05:00","24315","26004"
"02.01.2018 05:00 - 02.01.2018 05:30","25103","27491"
"02.01.2018 05:30 - 02.01.2018 06:00","27145","29154"
"02.01.2018 06:00 - 02.01.2018 06:30","30061","32571"
"02.01.2018 06:30 - 02.01.2018 07:00","33094","34909"
"02.01.2018 07:00 - 02.01.2018 07:30","35838","36958"
"02.01.2018 07:30 - 02.01.2018 08:00","37678","38581"
"02.01.2018 08:00 - 02.01.2018 08:30","39043","41062"
"02.01.2018 08:30 - 02.01.2018 09:00","40581","42559"
"02.01.2018 09:00 - 02.01.2018 09:30","42069","44112"
"02.01.2018 09:30 - 02.01.2018 10:00","42545","44937"
"02.01.2018 10:00 - 02.01.2018 10:30","42630","45600"
"02.01.2018 10:30 - 02.01.2018 11:00","42746","46073"
"02.01.2018 11:00 - 02.01.2018 11:30","42984","46367"
"02.01.2018 11:30 - 02.01.2018 12:00","43453","46816"
"02.01.2018 12:00 - 02.01.2018 12:30","43638","47171"
"02.01.2018 12:30 - 02.01.2018 13:00","43557","47109"
"02.01.2018 13:00 - 02.01.2018 13:30","43557","47007"
"02.01.2018 13:30 - 02.01.2018 14:00","43771","47214"
"02.01.2018 14:00 - 02.01.2018 14:30","43885","46556"
"02.01.2018 14:30 - 02.01.2018 15:00","44131","46188"
"02.01.2018 15:00 - 02.01.2018 15:30","44631","46213"
"02.01.2018 15:30 - 02.01.2018 16:00","45464","46726"
"02.01.2018 16:00 - 02.01.2018 16:30","47125","47832"
"02.01.2018 16:30 - 02.01.2018 17:00","48421","49193"
"02.01.2018 17:00 - 02.01.2018 17:30","48330","49507"
"02.01.2018 17:30 - 02.01.2018 18:00","47648","49236"
"02.01.2018 18:00 - 02.01.2018 18:30","46951","48664"
"02.01.2018 18:30 - 02.01.2018 19:00","46242","47778"
"02.01.2018 19:00 - 02.01.2018 19:30","45192","46910"
"02.01.2018 19:30 - 02.01.2018 20:00","43687","45369"
"02.01.2018 20:00 - 02.01.2018 20:30","41837","44256"
"02.01.2018 20:30 - 02.01.2018 21:00","39987","42674"
"02.01.2018 21:00 - 02.01.2018 21:30","38061","40912"
"02.01.2018 21:30 - 02.01.2018 22:00","35985","38781"
"02.01.2018 22:00 - 02.01.2018 22:30","34107","36881"
"02.01.2018 22:30 - 02.01.2018 23:00","32102","35110"
"02.01.2018 23:00 - 02.01.2018 23:30","30512","32417"
"02.01.2018 23:30 - 03.01.2018 00:00","28950","30804"
"03.01.2018 00:00 - 03.01.2018 00:30","28238","30080"
"03.01.2018 00:30 - 03.01.2018 01:00","28431","30662"
"03.01.2018 01:00 - 03.01.2018 01:30","28139","30487"
"03.01.2018 01:30 - 03.01.2018 02:00","27656","29688"
"03.01.2018 02:00 - 03.01.2018 02:30","27670","28758"
"03.01.2018 02:30 - 03.01.2018 03:00","27610","28342"
"03.01.2018 03:00 - 03.01.2018 03:30","26899","27891"
"03.01.2018 03:30 - 03.01.2018 04:00","26260","27787"
"03.01.2018 04:00 - 03.01.2018 04:30","26048","27271"
"03.01.2018 04:30 - 03.01.2018 05:00","26618","27372"
"03.01.2018 05:00 - 03.01.2018 05:30","27548","28149"
"03.01.2018 05:30 - 03.01.2018 06:00","29624","29611"
"03.01.2018 06:00 - 03.01.2018 06:30","32658","33504"
"03.01.2018 06:30 - 03.01.2018 07:00","36135","36084"
"03.01.2018 07:00 - 03.01.2018 07:30","39316","39249"
"03.01.2018 07:30 - 03.01.2018 08:00","41207","41063"
"03.01.2018 08:00 - 03.01.2018 08:30","42441","42638"
"03.01.2018 08:30 - 03.01.2018 09:00","43091","43613"
"03.01.2018 09:00 - 03.01.2018 09:30","43647","44935"
"03.01.2018 09:30 - 03.01.2018 10:00","43881","45415"
"03.01.2018 10:00 - 03.01.2018 10:30","43995","45709"
"03.01.2018 10:30 - 03.01.2018 11:00","44191","45892"
"03.01.2018 11:00 - 03.01.2018 11:30","44279","46052"
"03.01.2018 11:30 - 03.01.2018 12:00","44373","46012"
"03.01.2018 12:00 - 03.01.2018 12:30","44413","46395"
"03.01.2018 12:30 - 03.01.2018 13:00","44351","46310"
"03.01.2018 13:00 - 03.01.2018 13:30","44085","46144"
"03.01.2018 13:30 - 03.01.2018 14:00","44122","45724"
"03.01.2018 14:00 - 03.01.2018 14:30","44144","45771"
"03.01.2018 14:30 - 03.01.2018 15:00","44188","45623"
"03.01.2018 15:00 - 03.01.2018 15:30","44808","45654"
"03.01.2018 15:30 - 03.01.2018 16:00","45990","45989"
"03.01.2018 16:00 - 03.01.2018 16:30","47615","47078"
"03.01.2018 16:30 - 03.01.2018 17:00","48877","47161"
"03.01.2018 17:00 - 03.01.2018 17:30","48881","49358"
"03.01.2018 17:30 - 03.01.2018 18:00","48330","49004"
"03.01.2018 18:00 - 03.01.2018 18:30","47890","48498"
"03.01.2018 18:30 - 03.01.2018 19:00","47291","47688"
"03.01.2018 19:00 - 03.01.2018 19:30","46306","47122"
"03.01.2018 19:30 - 03.01.2018 20:00","44852","46044"
"03.01.2018 20:00 - 03.01.2018 20:30","43064","44580"
"03.01.2018 20:30 - 03.01.2018 21:00","41100","42974"
"03.01.2018 21:00 - 03.01.2018 21:30","38872","40942"
"03.01.2018 21:30 - 03.01.2018 22:00","36514","38837"
"03.01.2018 22:00 - 03.01.2018 22:30","34374","36730"
"03.01.2018 22:30 - 03.01.2018 23:00","32102","34983"
"03.01.2018 23:00 - 03.01.2018 23:30","30324","32520"
"03.01.2018 23:30 - 04.01.2018 00:00","29245","30653"
"04.01.2018 00:00 - 04.01.2018 00:30","28353","30220"
"04.01.2018 00:30 - 04.01.2018 01:00","28377","30764"
"04.01.2018 01:00 - 04.01.2018 01:30","27829","30553"
"04.01.2018 01:30 - 04.01.2018 02:00","27134","30198"
"04.01.2018 02:00 - 04.01.2018 02:30","26808","29822"
"04.01.2018 02:30 - 04.01.2018 03:00","26579","29836"
"04.01.2018 03:00 - 04.01.2018 03:30","26168","29610"
"04.01.2018 03:30 - 04.01.2018 04:00","25861","29388"
"04.01.2018 04:00 - 04.01.2018 04:30","25836","29461"
"04.01.2018 04:30 - 04.01.2018 05:00","26162","29623"
"04.01.2018 05:00 - 04.01.2018 05:30","26986","30492"
"04.01.2018 05:30 - 04.01.2018 06:00","29241","31948"
"04.01.2018 06:00 - 04.01.2018 06:30","32610","35216"
"04.01.2018 06:30 - 04.01.2018 07:00","36470","38332"
"04.01.2018 07:00 - 04.01.2018 07:30","39864","41214"
"04.01.2018 07:30 - 04.01.2018 08:00","41511","42834"
"04.01.2018 08:00 - 04.01.2018 08:30","41964","44103"
"04.01.2018 08:30 - 04.01.2018 09:00","42385","44756"
"04.01.2018 09:00 - 04.01.2018 09:30","43150","45610"
"04.01.2018 09:30 - 04.01.2018 10:00","43345","45943"
"04.01.2018 10:00 - 04.01.2018 10:30","43464","46021"
"04.01.2018 10:30 - 04.01.2018 11:00","43762","46200"
"04.01.2018 11:00 - 04.01.2018 11:30","43967","46350"
"04.01.2018 11:30 - 04.01.2018 12:00","44070","46513"
"04.01.2018 12:00 - 04.01.2018 12:30","44044","46657"
"04.01.2018 12:30 - 04.01.2018 13:00","43933","46363"
"04.01.2018 13:00 - 04.01.2018 13:30","43866","46424"
"04.01.2018 13:30 - 04.01.2018 14:00","44081","46284"
"04.01.2018 14:00 - 04.01.2018 14:30","44125","45904"
"04.01.2018 14:30 - 04.01.2018 15:00","44172","45594"
"04.01.2018 15:00 - 04.01.2018 15:30","44797","45871"
"04.01.2018 15:30 - 04.01.2018 16:00","46470","46459"
"04.01.2018 16:00 - 04.01.2018 16:30","48229","47815"
"04.01.2018 16:30 - 04.01.2018 17:00","48800","49706"
"04.01.2018 17:00 - 04.01.2018 17:30","48594","50113"
"04.01.2018 17:30 - 04.01.2018 18:00","48128","49688"
"04.01.2018 18:00 - 04.01.2018 18:30","47781","49216"
"04.01.2018 18:30 - 04.01.2018 19:00","47199","48258"
"04.01.2018 19:00 - 04.01.2018 19:30","46062","47403"
"04.01.2018 19:30 - 04.01.2018 20:00","44576","46216"
"04.01.2018 20:00 - 04.01.2018 20:30","42776","44997"
"04.01.2018 20:30 - 04.01.2018 21:00","40876","43586"
"04.01.2018 21:00 - 04.01.2018 21:30","38809","42083"
"04.01.2018 21:30 - 04.01.2018 22:00","36609","40037"
"04.01.2018 22:00 - 04.01.2018 22:30","34590","38245"
"04.01.2018 22:30 - 04.01.2018 23:00","32343","36294"
"04.01.2018 23:00 - 04.01.2018 23:30","30336","34242"
"04.01.2018 23:30 - 05.01.2018 00:00","29458","32506"
"05.01.2018 00:00 - 05.01.2018 00:30","29695","32089"
"05.01.2018 00:30 - 05.01.2018 01:00","29742","32755"
"05.01.2018 01:00 - 05.01.2018 01:30","29092","32404"
"05.01.2018 01:30 - 05.01.2018 02:00","28332","31553"
"05.01.2018 02:00 - 05.01.2018 02:30","28018","30958"
"05.01.2018 02:30 - 05.01.2018 03:00","27893","30859"
"05.01.2018 03:00 - 05.01.2018 03:30","27577","30318"
"05.01.2018 03:30 - 05.01.2018 04:00","27171","29700"
"05.01.2018 04:00 - 05.01.2018 04:30","26945","29497"
"05.01.2018 04:30 - 05.01.2018 05:00","27200","29506"
"05.01.2018 05:00 - 05.01.2018 05:30","27925","30135"
"05.01.2018 05:30 - 05.01.2018 06:00","29934","31696"
"05.01.2018 06:00 - 05.01.2018 06:30","33073","35168"
"05.01.2018 06:30 - 05.01.2018 07:00","36930","38020"
"05.01.2018 07:00 - 05.01.2018 07:30","40352","40978"
"05.01.2018 07:30 - 05.01.2018 08:00","41758","42910"
"05.01.2018 08:00 - 05.01.2018 08:30","42028","44238"
"05.01.2018 08:30 - 05.01.2018 09:00","42450","44896"
"05.01.2018 09:00 - 05.01.2018 09:30","43091","45953"
"05.01.2018 09:30 - 05.01.2018 10:00","43192","46441"
"05.01.2018 10:00 - 05.01.2018 10:30","43432","46593"
"05.01.2018 10:30 - 05.01.2018 11:00","43648","46630"
"05.01.2018 11:00 - 05.01.2018 11:30","43585","46673"
"05.01.2018 11:30 - 05.01.2018 12:00","43743","46883"
"05.01.2018 12:00 - 05.01.2018 12:30","43815","47021"
"05.01.2018 12:30 - 05.01.2018 13:00","43627","46519"
"05.01.2018 13:00 - 05.01.2018 13:30","43392","46263"
"05.01.2018 13:30 - 05.01.2018 14:00","43387","45770"
"05.01.2018 14:00 - 05.01.2018 14:30","43166","45846"
"05.01.2018 14:30 - 05.01.2018 15:00","42764","45389"
"05.01.2018 15:00 - 05.01.2018 15:30","42955","45289"
"05.01.2018 15:30 - 05.01.2018 16:00","44155","45789"
"05.01.2018 16:00 - 05.01.2018 16:30","46098","46922"
"05.01.2018 16:30 - 05.01.2018 17:00","47479","49018"
"05.01.2018 17:00 - 05.01.2018 17:30","47545","49672"
"05.01.2018 17:30 - 05.01.2018 18:00","47203","49183"
"05.01.2018 18:00 - 05.01.2018 18:30","46967","48580"
"05.01.2018 18:30 - 05.01.2018 19:00","46165","47875"
"05.01.2018 19:00 - 05.01.2018 19:30","44810","47193"
"05.01.2018 19:30 - 05.01.2018 20:00","43339","46029"
"05.01.2018 20:00 - 05.01.2018 20:30","41691","44699"
"05.01.2018 20:30 - 05.01.2018 21:00","39946","43020"
"05.01.2018 21:00 - 05.01.2018 21:30","38070","41511"
"05.01.2018 21:30 - 05.01.2018 22:00","36110","39973"
"05.01.2018 22:00 - 05.01.2018 22:30","34464","38305"
"05.01.2018 22:30 - 05.01.2018 23:00","32718","37073"
"05.01.2018 23:00 - 05.01.2018 23:30","31024","35621"
"05.01.2018 23:30 - 06.01.2018 00:00","30585","34526"
"06.01.2018 00:00 - 06.01.2018 00:30","30338","34129"
"06.01.2018 00:30 - 06.01.2018 01:00","30389","34610"
"06.01.2018 01:00 - 06.01.2018 01:30","29576","33923"
"06.01.2018 01:30 - 06.01.2018 02:00","28753","32659"
"06.01.2018 02:00 - 06.01.2018 02:30","28303","31645"
"06.01.2018 02:30 - 06.01.2018 03:00","27877","31334"
"06.01.2018 03:00 - 06.01.2018 03:30","27288","30051"
"06.01.2018 03:30 - 06.01.2018 04:00","26792","29242"
"06.01.2018 04:00 - 06.01.2018 04:30","26480","28635"
"06.01.2018 04:30 - 06.01.2018 05:00","26383","28443"
"06.01.2018 05:00 - 06.01.2018 05:30","26507","28728"
"06.01.2018 05:30 - 06.01.2018 06:00","27377","29389"
"06.01.2018 06:00 - 06.01.2018 06:30","28688","30826"
"06.01.2018 06:30 - 06.01.2018 07:00","30139","32333"
"06.01.2018 07:00 - 06.01.2018 07:30","31591","34602"
"06.01.2018 07:30 - 06.01.2018 08:00","33180","35887"
"06.01.2018 08:00 - 06.01.2018 08:30","35358","37450"
"06.01.2018 08:30 - 06.01.2018 09:00","37062","39223"
"06.01.2018 09:00 - 06.01.2018 09:30","38334","41060"
"06.01.2018 09:30 - 06.01.2018 10:00","39285","42112"
"06.01.2018 10:00 - 06.01.2018 10:30","39817","43107"
"06.01.2018 10:30 - 06.01.2018 11:00","40119","43653"
"06.01.2018 11:00 - 06.01.2018 11:30","40299","43742"
"06.01.2018 11:30 - 06.01.2018 12:00","40490","43799"
"06.01.2018 12:00 - 06.01.2018 12:30","40542","43880"
"06.01.2018 12:30 - 06.01.2018 13:00","40453","43561"
"06.01.2018 13:00 - 06.01.2018 13:30","40178","43427"
"06.01.2018 13:30 - 06.01.2018 14:00","39999","43091"
"06.01.2018 14:00 - 06.01.2018 14:30","39554","42686"
"06.01.2018 14:30 - 06.01.2018 15:00","39441","42443"
"06.01.2018 15:00 - 06.01.2018 15:30","39753","42545"
"06.01.2018 15:30 - 06.01.2018 16:00","40905","43243"
"06.01.2018 16:00 - 06.01.2018 16:30","43011","44734"
"06.01.2018 16:30 - 06.01.2018 17:00","44593","46978"
"06.01.2018 17:00 - 06.01.2018 17:30","45199","47737"
"06.01.2018 17:30 - 06.01.2018 18:00","44930","48040"
"06.01.2018 18:00 - 06.01.2018 18:30","44154","47366"
"06.01.2018 18:30 - 06.01.2018 19:00","43044","46219"
"06.01.2018 19:00 - 06.01.2018 19:30","41720","45292"
"06.01.2018 19:30 - 06.01.2018 20:00","40412","44248"
"06.01.2018 20:00 - 06.01.2018 20:30","39001","42979"
"06.01.2018 20:30 - 06.01.2018 21:00","37714","41662"
"06.01.2018 21:00 - 06.01.2018 21:30","36255","40378"
"06.01.2018 21:30 - 06.01.2018 22:00","34540","38921"
"06.01.2018 22:00 - 06.01.2018 22:30","33247","37515"
"06.01.2018 22:30 - 06.01.2018 23:00","31777","36589"
"06.01.2018 23:00 - 06.01.2018 23:30","30307","34601"
"06.01.2018 23:30 - 07.01.2018 00:00","29761","33379"
"07.01.2018 00:00 - 07.01.2018 00:30","29743","33238"
"07.01.2018 00:30 - 07.01.2018 01:00","29969","33568"
"07.01.2018 01:00 - 07.01.2018 01:30","29562","32324"
"07.01.2018 01:30 - 07.01.2018 02:00","28896","30850"
"07.01.2018 02:00 - 07.01.2018 02:30","28592","30090"
"07.01.2018 02:30 - 07.01.2018 03:00","28119","30090"
"07.01.2018 03:00 - 07.01.2018 03:30","27196","29542"
"07.01.2018 03:30 - 07.01.2018 04:00","26480","28946"
"07.01.2018 04:00 - 07.01.2018 04:30","26041","28574"
"07.01.2018 04:30 - 07.01.2018 05:00","25783","28217"
"07.01.2018 05:00 - 07.01.2018 05:30","25826","28194"
"07.01.2018 05:30 - 07.01.2018 06:00","26450","28332"
"07.01.2018 06:00 - 07.01.2018 06:30","27264","29107"
"07.01.2018 06:30 - 07.01.2018 07:00","28261","29931"
"07.01.2018 07:00 - 07.01.2018 07:30","29310","30922"
"07.01.2018 07:30 - 07.01.2018 08:00","30419","31963"
"07.01.2018 08:00 - 07.01.2018 08:30","32301","34124"
"07.01.2018 08:30 - 07.01.2018 09:00","34326","35726"
"07.01.2018 09:00 - 07.01.2018 09:30","36173","38106"
"07.01.2018 09:30 - 07.01.2018 10:00","37640","39598"
"07.01.2018 10:00 - 07.01.2018 10:30","38883","40936"
"07.01.2018 10:30 - 07.01.2018 11:00","39747","41704"
"07.01.2018 11:00 - 07.01.2018 11:30","40378","42274"
"07.01.2018 11:30 - 07.01.2018 12:00","40969","42516"
"07.01.2018 12:00 - 07.01.2018 12:30","41127","43105"
"07.01.2018 12:30 - 07.01.2018 13:00","41171","43216"
"07.01.2018 13:00 - 07.01.2018 13:30","40960","43046"
"07.01.2018 13:30 - 07.01.2018 14:00","40807","41617"
"07.01.2018 14:00 - 07.01.2018 14:30","40576","42802"
"07.01.2018 14:30 - 07.01.2018 15:00","40738","42627"
"07.01.2018 15:00 - 07.01.2018 15:30","41286","43034"
"07.01.2018 15:30 - 07.01.2018 16:00","42468","43759"
"07.01.2018 16:00 - 07.01.2018 16:30","44898","45675"
"07.01.2018 16:30 - 07.01.2018 17:00","46685","48448"
"07.01.2018 17:00 - 07.01.2018 17:30","46948","49481"
"07.01.2018 17:30 - 07.01.2018 18:00","46535","49218"
"07.01.2018 18:00 - 07.01.2018 18:30","45798","48444"
"07.01.2018 18:30 - 07.01.2018 19:00","44673","47472"
"07.01.2018 19:00 - 07.01.2018 19:30","43472","46396"
"07.01.2018 19:30 - 07.01.2018 20:00","42480","45200"
"07.01.2018 20:00 - 07.01.2018 20:30","41202","44051"
"07.01.2018 20:30 - 07.01.2018 21:00","39699","42431"
"07.01.2018 21:00 - 07.01.2018 21:30","37880","41024"
"07.01.2018 21:30 - 07.01.2018 22:00","35824","39322"
"07.01.2018 22:00 - 07.01.2018 22:30","34028","37734"
"07.01.2018 22:30 - 07.01.2018 23:00","32082","35987"
"07.01.2018 23:00 - 07.01.2018 23:30","30397","34022"
"07.01.2018 23:30 - 08.01.2018 00:00","29399","32487"
"08.01.2018 00:00 - 08.01.2018 00:30","30139","31575"
"08.01.2018 00:30 - 08.01.2018 01:00","30304","32398"
"08.01.2018 01:00 - 08.01.2018 01:30","29852","31985"
"08.01.2018 01:30 - 08.01.2018 02:00","29313","31092"
"08.01.2018 02:00 - 08.01.2018 02:30","29099","30701"
"08.01.2018 02:30 - 08.01.2018 03:00","28883","30604"
"08.01.2018 03:00 - 08.01.2018 03:30","28527","30275"
"08.01.2018 03:30 - 08.01.2018 04:00","28188","29932"
"08.01.2018 04:00 - 08.01.2018 04:30","27974","29729"
"08.01.2018 04:30 - 08.01.2018 05:00","28397","29783"
"08.01.2018 05:00 - 08.01.2018 05:30","29353","30724"
"08.01.2018 05:30 - 08.01.2018 06:00","31631","32330"
"08.01.2018 06:00 - 08.01.2018 06:30","34989","36783"
"08.01.2018 06:30 - 08.01.2018 07:00","38741","40722"
"08.01.2018 07:00 - 08.01.2018 07:30","41913","44404"
"08.01.2018 07:30 - 08.01.2018 08:00","43362","46703"
"08.01.2018 08:00 - 08.01.2018 08:30","43598","47766"
"08.01.2018 08:30 - 08.01.2018 09:00","44029","48251"
"08.01.2018 09:00 - 08.01.2018 09:30","45400","48996"
"08.01.2018 09:30 - 08.01.2018 10:00","46135","49440"
"08.01.2018 10:00 - 08.01.2018 10:30","46491","49821"
"08.01.2018 10:30 - 08.01.2018 11:00","46888","50323"
"08.01.2018 11:00 - 08.01.2018 11:30","47231","50839"
"08.01.2018 11:30 - 08.01.2018 12:00","47658","50987"
"08.01.2018 12:00 - 08.01.2018 12:30","47694","51308"
"08.01.2018 12:30 - 08.01.2018 13:00","47476","51034"
"08.01.2018 13:00 - 08.01.2018 13:30","47101","50895"
"08.01.2018 13:30 - 08.01.2018 14:00","46775","50951"
"08.01.2018 14:00 - 08.01.2018 14:30","46594","50447"
"08.01.2018 14:30 - 08.01.2018 15:00","46465","49981"
"08.01.2018 15:00 - 08.01.2018 15:30","46929","49679"
"08.01.2018 15:30 - 08.01.2018 16:00","48324","50744"
"08.01.2018 16:00 - 08.01.2018 16:30","49855","51362"
"08.01.2018 16:30 - 08.01.2018 17:00","50918","51753"
"08.01.2018 17:00 - 08.01.2018 17:30","51141","51792"
"08.01.2018 17:30 - 08.01.2018 18:00","50567","51250"
"08.01.2018 18:00 - 08.01.2018 18:30","50250","51030"
"08.01.2018 18:30 - 08.01.2018 19:00","49844","50842"
"08.01.2018 19:00 - 08.01.2018 19:30","48710","50793"
"08.01.2018 19:30 - 08.01.2018 20:00","47082","50085"
"08.01.2018 20:00 - 08.01.2018 20:30","45243","48978"
"08.01.2018 20:30 - 08.01.2018 21:00","43414","47255"
"08.01.2018 21:00 - 08.01.2018 21:30","41215","45286"
"08.01.2018 21:30 - 08.01.2018 22:00","38724","42911"
"08.01.2018 22:00 - 08.01.2018 22:30","36553","40841"
"08.01.2018 22:30 - 08.01.2018 23:00","34245","38714"
"08.01.2018 23:00 - 08.01.2018 23:30","32136","36005"
"08.01.2018 23:30 - 09.01.2018 00:00","30894","33434"
"09.01.2018 00:00 - 09.01.2018 00:30","30018","33398"
"09.01.2018 00:30 - 09.01.2018 01:00","30361","33692"
"09.01.2018 01:00 - 09.01.2018 01:30","30098","33375"
"09.01.2018 01:30 - 09.01.2018 02:00","29691","32746"
"09.01.2018 02:00 - 09.01.2018 02:30","29666","32324"
"09.01.2018 02:30 - 09.01.2018 03:00","29593","32176"
"09.01.2018 03:00 - 09.01.2018 03:30","29229","31982"
"09.01.2018 03:30 - 09.01.2018 04:00","28862","31481"
"09.01.2018 04:00 - 09.01.2018 04:30","28596","31228"
"09.01.2018 04:30 - 09.01.2018 05:00","28700","31290"
"09.01.2018 05:00 - 09.01.2018 05:30","29543","32049"
"09.01.2018 05:30 - 09.01.2018 06:00","32005","33768"
"09.01.2018 06:00 - 09.01.2018 06:30","35595","38093"
"09.01.2018 06:30 - 09.01.2018 07:00","39430","41512"
"09.01.2018 07:00 - 09.01.2018 07:30","42421","44586"
"09.01.2018 07:30 - 09.01.2018 08:00","43814","46855"
"09.01.2018 08:00 - 09.01.2018 08:30","44197","48326"
"09.01.2018 08:30 - 09.01.2018 09:00","44796","48579"
"09.01.2018 09:00 - 09.01.2018 09:30","45671","49231"
"09.01.2018 09:30 - 09.01.2018 10:00","46006","49606"
"09.01.2018 10:00 - 09.01.2018 10:30","46344","49708"
"09.01.2018 10:30 - 09.01.2018 11:00","46579","49951"
"09.01.2018 11:00 - 09.01.2018 11:30","46800","50180"
"09.01.2018 11:30 - 09.01.2018 12:00","47225","50170"
"09.01.2018 12:00 - 09.01.2018 12:30","47341","50238"
"09.01.2018 12:30 - 09.01.2018 13:00","47245","50018"
"09.01.2018 13:00 - 09.01.2018 13:30","47133","49884"
"09.01.2018 13:30 - 09.01.2018 14:00","47050","49919"
"09.01.2018 14:00 - 09.01.2018 14:30","46849","49136"
"09.01.2018 14:30 - 09.01.2018 15:00","46394","48704"
"09.01.2018 15:00 - 09.01.2018 15:30","46808","48984"
"09.01.2018 15:30 - 09.01.2018 16:00","48419","49832"
"09.01.2018 16:00 - 09.01.2018 16:30","49983","49832"
"09.01.2018 16:30 - 09.01.2018 17:00","50832","50481"
"09.01.2018 17:00 - 09.01.2018 17:30","50788","50867"
"09.01.2018 17:30 - 09.01.2018 18:00","50170","50425"
"09.01.2018 18:00 - 09.01.2018 18:30","49721","50249"
"09.01.2018 18:30 - 09.01.2018 19:00","49312","49833"
"09.01.2018 19:00 - 09.01.2018 19:30","48312","49585"
"09.01.2018 19:30 - 09.01.2018 20:00","46581","48775"
"09.01.2018 20:00 - 09.01.2018 20:30","44688","47498"
"09.01.2018 20:30 - 09.01.2018 21:00","42726","45685"
"09.01.2018 21:00 - 09.01.2018 21:30","40278","43671"
"09.01.2018 21:30 - 09.01.2018 22:00","37736","41325"
"09.01.2018 22:00 - 09.01.2018 22:30","35701","39198"
"09.01.2018 22:30 - 09.01.2018 23:00","33560","37268"
"09.01.2018 23:00 - 09.01.2018 23:30","31635","34560"
"09.01.2018 23:30 - 10.01.2018 00:00","30625","32787"
"10.01.2018 00:00 - 10.01.2018 00:30","30952","32681"
"10.01.2018 00:30 - 10.01.2018 01:00","31151","33260"
