"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|GB","Actual Total Load [MW] - BZN|GB"
"01.01.2018 00:00 - 01.01.2018 00:30","28846","30303"
"01.01.2018 00:30 - 01.01.2018 01:00","29054","31096"
"01.01.2018 01:00 - 01.01.2018 01:30","28307","30599"
"01.01.2018 01:30 - 01.01.2018 02:00","27190","29402"
"01.01.2018 02:00 - 01.01.2018 02:30","26458","28096"
"01.01.2018 02:30 - 01.01.2018 03:00","25656","27278"
"01.01.2018 03:00 - 01.01.2018 03:30","24577","25882"
"01.01.2018 03:30 - 01.01.2018 04:00","23735","24911"
"01.01.2018 04:00 - 01.01.2018 04:30","23164","24144"
"01.01.2018 04:30 - 01.01.2018 05:00","22776","23812"
"01.01.2018 05:00 - 01.01.2018 05:30","22445","23648"
"01.01.2018 05:30 - 01.01.2018 06:00","22446","24005"
"01.01.2018 06:00 - 01.01.2018 06:30","22673","24964"
"01.01.2018 06:30 - 01.01.2018 07:00","22884","25384"
"01.01.2018 07:00 - 01.01.2018 07:30","23078","25851"
"01.01.2018 07:30 - 01.01.2018 08:00","23542","26463"
"01.01.2018 08:00 - 01.01.2018 08:30","24484","27325"
"01.01.2018 08:30 - 01.01.2018 09:00","25712","28484"
"01.01.2018 09:00 - 01.01.2018 09:30","27269","31217"
"01.01.2018 09:30 - 01.01.2018 10:00","28908","32480"
"01.01.2018 10:00 - 01.01.2018 10:30","30585","34855"
"01.01.2018 10:30 - 01.01.2018 11:00","31942","35955"
"01.01.2018 11:00 - 01.01.2018 11:30","33003","37510"
"01.01.2018 11:30 - 01.01.2018 12:00","33953","38457"
"01.01.2018 12:00 - 01.01.2018 12:30","34504","39200"
"01.01.2018 12:30 - 01.01.2018 13:00","34704","39397"
"01.01.2018 13:00 - 01.01.2018 13:30","34554","39619"
"01.01.2018 13:30 - 01.01.2018 14:00","34571","38806"
"01.01.2018 14:00 - 01.01.2018 14:30","34591","39001"
"01.01.2018 14:30 - 01.01.2018 15:00","34689","38438"
"01.01.2018 15:00 - 01.01.2018 15:30","35058","38722"
"01.01.2018 15:30 - 01.01.2018 16:00","36011","39229"
"01.01.2018 16:00 - 01.01.2018 16:30","37560","40642"
"01.01.2018 16:30 - 01.01.2018 17:00","38549","42894"
"01.01.2018 17:00 - 01.01.2018 17:30","38751","43512"
